0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/front/js/jquery.min.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/front/js/bootstrap.min.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/respond.min.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/img/1.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/img/2.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/img/3.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/jquery.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/bootstrap.min.js HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/respond.min.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/img/1.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/img/3.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:02 +0800] "GET /hdfs_file_upload/img/2.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:03 +0800] "GET /hdfs_file_upload/login? HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [16/May/2017:09:35:03 +0800] "GET /hdfs_file_upload/front/js/jquery.min.js HTTP/1.1" 404 1072
